5 ,18.8, 0.0
13 ,18.2, 0.0
21 ,17.7, 0.0
29 ,17.4, 0.0
37 ,17.1, 0.0
45 ,17.0, 0.0
53 ,17.0, 0.0
61 ,17.1, 0.0
69 ,16.3, 0.0
77 ,14.6, 0.0
84 ,13.4, 0.0
92 ,12.4, 0.0
99 ,11.4, 0.0
107 ,11.3, 0.0
115 ,11.8, 0.0
123 ,12.4, 0.0
130 ,12.8, 0.0
137 ,13.3, 0.0
145 ,13.5, 0.0
153 ,13.6, 0.0
162 ,13.6, 0.0
171 ,13.5, 0.0
179 ,12.9, 0.0
187 ,12.3, 0.0
194 ,11.9, 0.0
202 ,11.5, 0.0
209 ,11.5, 0.0
217 ,11.8, 0.0
224 ,12.2, 0.0
232 ,12.7, 0.0
239 ,13.1, 0.0
246 ,13.2, 0.0
254 ,13.3, 0.0
263 ,13.3, 0.0
272 ,13.2, 0.0
282 ,12.9, 0.0
290 ,12.5, 0.0
298 ,12.2, 0.0
306 ,11.9, 0.0
313 ,11.6, 0.0
320 ,11.7, 0.0
328 ,12.0, 0.0
335 ,12.3, 0.0
342 ,12.6, 0.0
349 ,12.7, 0.0
357 ,12.9, 0.0
365 ,12.9, 0.0
375 ,12.9, 0.0
384 ,12.9, 0.0
393 ,12.8, 0.0
401 ,12.5, 0.0
409 ,12.3, 0.0
416 ,12.1, 0.0
423 ,11.9, 0.0
430 ,11.7, 0.0
437 ,11.7, 0.0
445 ,11.9, 0.0
452 ,12.2, 0.0
459 ,12.4, 0.0
466 ,12.6, 0.0
474 ,12.7, 0.0
483 ,12.6, 0.0
494 ,12.6, 0.0
505 ,12.3, 0.0
514 ,12.1, 0.0
522 ,12.0, 0.0
529 ,11.8, 0.0
536 ,11.7, 0.0
543 ,12.0, 0.0
550 ,12.1, 0.0
557 ,12.4, 0.0
564 ,12.6, 0.0
571 ,12.7, 0.0
579 ,12.8, 0.0
588 ,12.8, 0.0
597 ,12.8, 0.0
606 ,12.6, 0.0
623 ,12.4, 0.0
631 ,12.2, 0.0
640 ,12.2, 0.0
648 ,12.3, 0.0
655 ,12.5, 0.0
663 ,12.7, 0.0
670 ,12.8, 0.0
677 ,13.0, 0.0
684 ,13.1, 0.0
692 ,13.1, 0.0
700 ,13.1, 0.0
709 ,13.0, 0.0
718 ,12.8, 0.0
726 ,12.7, 0.0
734 ,12.6, 0.0
742 ,12.4, 0.0
751 ,12.4, 0.0
760 ,12.5, 0.0
768 ,12.5, 0.0
776 ,12.5, 0.0
784 ,12.7, 0.0
791 ,12.7, 0.0
799 ,12.8, 0.0
810 ,12.8, 0.0
820 ,12.7, 0.0
828 ,12.6, 0.0
836 ,12.4, 0.0
844 ,12.3, 0.0
852 ,12.2, 0.0
861 ,12.2, 0.0
869 ,12.2, 0.0
878 ,12.2, 0.0
886 ,12.3, 0.0
894 ,12.3, 0.0
901 ,12.4, 0.0
910 ,12.4, 0.0
919 ,12.4, 0.0
927 ,12.4, 0.0
936 ,12.3, 0.0
944 ,12.2, 0.0
956 ,12.0, 0.0
964 ,11.9, 0.0
