5 ,0,0,4495.04,61567
13 ,0,0,4491.95,61567
21 ,0,0,4488.74,61567
29 ,0,0,4485.50,61567
37 ,0,0,4482.35,61567
45 ,0,0,4479.12,61567
53 ,0,0,4476.05,61567
61 ,0,0,4477.26,61454
69 ,0,0,4489.81,61326
77 ,0,0,4499.32,61070
84 ,0,0,4507.93,60556
92 ,0,0,4517.08,60559
99 ,3,6,4525.39,60559
107 ,9,9,4536.61,60559
115 ,7,7,4542.93,59531
123 ,5,5,4552.35,59535
130 ,4,4,4561.15,59535
137 ,3,3,4576.13,59535
145 ,2,2,4583.18,59535
153 ,1,1,4594.91,59535
162 ,1,1,4606.31,59535
171 ,5,5,4616.04,59535
179 ,4,4,4622.89,57487
187 ,3,3,4635.88,57487
194 ,2,2,4643.94,57487
202 ,1,1,4652.08,57487
209 ,1,1,4659.82,57487
217 ,1,1,4668.18,57487
224 ,0,0,4677.19,57487
232 ,7,7,4685.03,57487
239 ,5,5,4698.94,57487
246 ,4,3,4704.91,57487
254 ,2,2,4715.89,57487
263 ,2,2,4728.99,57876
272 ,1,1,4743.42,57460
282 ,1,1,4748.82,57460
290 ,0,0,4761.39,56948
298 ,0,0,4765.66,56948
306 ,0,0,4778.97,56948
313 ,0,0,4788.21,56948
320 ,0,0,4797.26,55924
328 ,0,0,4805.55,55924
335 ,0,0,4814.15,55924
342 ,0,0,4821.95,55924
349 ,0,0,4833.83,55924
357 ,2,2,4843.78,55924
365 ,6,6,4851.76,55924
375 ,4,4,4861.17,53876
384 ,3,3,4871.05,53876
393 ,2,2,4881.45,53876
401 ,1,1,4890.32,53876
409 ,1,1,4898.55,53876
416 ,0,0,4905.61,53876
423 ,0,0,4913.01,53876
430 ,3,3,4921.50,53876
437 ,4,4,4928.40,53876
445 ,3,3,4939.69,53876
452 ,2,2,4946.64,53876
459 ,2,2,4954.16,53876
466 ,13,12,4965.44,53876
474 ,9,8,4976.78,53876
483 ,9,8,4989.33,53876
494 ,7,7,4998.97,49780
505 ,5,5,5010.05,49780
514 ,4,3,5018.68,49780
522 ,2,2,5023.87,49780
529 ,2,2,5035.51,49780
536 ,1,1,5043.11,49780
543 ,1,1,5050.26,49780
550 ,1,0,5051.28,49780
557 ,0,0,5063.82,49780
564 ,0,0,5075.14,49780
571 ,0,0,5081.99,49780
579 ,0,0,5091.75,49780
588 ,0,0,5105.39,49780
597 ,0,0,5113.87,49780
606 ,5,5,5130.71,51662
623 ,8,8,5138.00,51470
631 ,6,6,5144.83,51214
640 ,4,4,5156.45,51213
648 ,3,3,5162.45,50701
655 ,2,2,5175.00,50701
663 ,1,1,5181.99,50701
670 ,1,1,5188.68,49673
677 ,1,1,5196.11,49677
684 ,0,0,5208.23,49677
692 ,0,0,5215.09,49677
700 ,0,0,5228.60,49677
709 ,0,0,5235.89,49677
718 ,0,0,5245.46,49677
726 ,0,0,5253.37,47621
734 ,0,0,5260.95,47629
742 ,3,3,5271.97,47629
751 ,4,4,5281.93,47630
760 ,3,3,5290.79,47630
768 ,2,2,5299.87,47630
776 ,1,1,5307.26,47630
784 ,1,1,5318.30,47630
791 ,0,0,5325.13,47630
799 ,0,0,5337.97,48269
810 ,0,0,5345.43,48085
820 ,0,0,5357.13,47957
828 ,0,0,5366.09,47701
836 ,0,0,5371.70,47701
844 ,0,0,5371.58,61568
852 ,0,0,5367.87,61568
861 ,0,0,5364.04,61568
869 ,0,0,5360.27,61568
878 ,7,7,5356.82,61567
886 ,5,5,5353.33,61567
894 ,4,4,5349.86,61567
901 ,3,3,5346.12,61567
910 ,2,2,5342.42,61567
919 ,1,1,5338.61,61567
927 ,1,1,5334.82,61567
936 ,0,0,5331.16,61567
944 ,5,5,5326.12,61567
956 ,5,5,5322.54,61567
